plate_map_name	well_position	plating_density	line_ID	line_condition	line_source
BR_NCP_STEM_1	A01	10000	1	control	human
BR_NCP_STEM_1	A02	10000	1	control	human
BR_NCP_STEM_1	A03	10000	30	deletion	human
BR_NCP_STEM_1	A04	10000	30	deletion	human
BR_NCP_STEM_1	A05	10000	9	control	human
BR_NCP_STEM_1	A06	10000	9	control	human
BR_NCP_STEM_1	A07	10000	26	deletion	isogenic_deletion
BR_NCP_STEM_1	A08	10000	26	deletion	isogenic_deletion
BR_NCP_STEM_1	A09	10000	4	control	human
BR_NCP_STEM_1	A10	10000	4	control	human
BR_NCP_STEM_1	A11	10000	34	deletion	human
BR_NCP_STEM_1	A12	10000	34	deletion	human
BR_NCP_STEM_1	A13	10000	15	control	human
BR_NCP_STEM_1	A14	10000	15	control	human
BR_NCP_STEM_1	A15	10000	36	deletion	human
BR_NCP_STEM_1	A16	10000	36	deletion	human
BR_NCP_STEM_1	A17	10000	2	control	human
BR_NCP_STEM_1	A18	10000	2	control	human
BR_NCP_STEM_1	A19	10000	16	control	human
BR_NCP_STEM_1	A20	10000	16	control	human
BR_NCP_STEM_1	A21	10000	20	control	human
BR_NCP_STEM_1	A22	10000	20	control	human
BR_NCP_STEM_1	A23	10000	12	control	human
BR_NCP_STEM_1	A24	10000	12	control	human
BR_NCP_STEM_1	B01	10000	1	control	human
BR_NCP_STEM_1	B02	10000	1	control	human
BR_NCP_STEM_1	B03	10000	30	deletion	human
BR_NCP_STEM_1	B04	10000	30	deletion	human
BR_NCP_STEM_1	B05	10000	9	control	human
BR_NCP_STEM_1	B06	10000	9	control	human
BR_NCP_STEM_1	B07	10000	26	deletion	isogenic_deletion
BR_NCP_STEM_1	B08	10000	26	deletion	isogenic_deletion
BR_NCP_STEM_1	B09	10000	4	control	human
BR_NCP_STEM_1	B10	10000	4	control	human
BR_NCP_STEM_1	B11	10000	34	deletion	human
BR_NCP_STEM_1	B12	10000	34	deletion	human
BR_NCP_STEM_1	B13	10000	15	control	human
BR_NCP_STEM_1	B14	10000	15	control	human
BR_NCP_STEM_1	B15	10000	36	deletion	human
BR_NCP_STEM_1	B16	10000	36	deletion	human
BR_NCP_STEM_1	B17	10000	2	control	human
BR_NCP_STEM_1	B18	10000	2	control	human
BR_NCP_STEM_1	B19	10000	16	control	human
BR_NCP_STEM_1	B20	10000	16	control	human
BR_NCP_STEM_1	B21	10000	20	control	human
BR_NCP_STEM_1	B22	10000	20	control	human
BR_NCP_STEM_1	B23	10000	12	control	human
BR_NCP_STEM_1	B24	10000	12	control	human
BR_NCP_STEM_1	C01	10000	17	control	human
BR_NCP_STEM_1	C02	10000	17	control	human
BR_NCP_STEM_1	C03	10000	39	deletion	human
BR_NCP_STEM_1	C04	10000	39	deletion	human
BR_NCP_STEM_1	C05	10000	37	deletion	human
BR_NCP_STEM_1	C06	10000	37	deletion	human
BR_NCP_STEM_1	C07	10000	42	deletion	human
BR_NCP_STEM_1	C08	10000	42	deletion	human
BR_NCP_STEM_1	C09	10000	7	control	human
BR_NCP_STEM_1	C10	10000	7	control	human
BR_NCP_STEM_1	C11	10000	29	deletion	human
BR_NCP_STEM_1	C12	10000	29	deletion	human
BR_NCP_STEM_1	C13	10000	11	control	human
BR_NCP_STEM_1	C14	10000	11	control	human
BR_NCP_STEM_1	C15	10000	38	deletion	human
BR_NCP_STEM_1	C16	10000	38	deletion	human
BR_NCP_STEM_1	C17	10000	43	deletion	human
BR_NCP_STEM_1	C18	10000	43	deletion	human
BR_NCP_STEM_1	C19	10000	18	control	human
BR_NCP_STEM_1	C20	10000	18	control	human
BR_NCP_STEM_1	C21	10000	6	control	human
BR_NCP_STEM_1	C22	10000	6	control	human
BR_NCP_STEM_1	C23	10000	29	deletion	human
BR_NCP_STEM_1	C24	10000	29	deletion	human
BR_NCP_STEM_1	D01	10000	17	control	human
BR_NCP_STEM_1	D02	10000	17	control	human
BR_NCP_STEM_1	D03	10000	39	deletion	human
BR_NCP_STEM_1	D04	10000	39	deletion	human
BR_NCP_STEM_1	D05	10000	37	deletion	human
BR_NCP_STEM_1	D06	10000	37	deletion	human
BR_NCP_STEM_1	D07	10000	42	deletion	human
BR_NCP_STEM_1	D08	10000	42	deletion	human
BR_NCP_STEM_1	D09	10000	7	control	human
BR_NCP_STEM_1	D10	10000	7	control	human
BR_NCP_STEM_1	D11	10000	29	deletion	human
BR_NCP_STEM_1	D12	10000	29	deletion	human
BR_NCP_STEM_1	D13	10000	11	control	human
BR_NCP_STEM_1	D14	10000	11	control	human
BR_NCP_STEM_1	D15	10000	38	deletion	human
BR_NCP_STEM_1	D16	10000	38	deletion	human
