plate_map_name	well_position	plating_density	line_ID	line_condition	line_source
BR00127194	A01	10000	1	control	human
BR00127194	A02	10000	1	control	human
BR00127194	A03	10000	30	deletion	human
BR00127194	A04	10000	30	deletion	human
BR00127194	A05	10000	9	control	human
BR00127194	A06	10000	9	control	human
BR00127194	A07	10000	26	deletion	isogenic_deletion
BR00127194	A08	10000	26	deletion	isogenic_deletion
BR00127194	A09	10000	4	control	human
BR00127194	A10	10000	4	control	human
BR00127194	A11	10000	34	deletion	human
BR00127194	A12	10000	34	deletion	human
BR00127194	A13	10000	15	control	human
BR00127194	A14	10000	15	control	human
BR00127194	A15	10000	36	deletion	human
BR00127194	A16	10000	36	deletion	human
BR00127194	A17	10000	2	control	human
BR00127194	A18	10000	2	control	human
BR00127194	A19	10000	16	control	human
BR00127194	A20	10000	16	control	human
BR00127194	A21	10000	20	control	human
BR00127194	A22	10000	20	control	human
BR00127194	A23	10000	12	control	human
BR00127194	A24	10000	12	control	human
BR00127194	B01	10000	1	control	human
BR00127194	B02	10000	1	control	human
BR00127194	B03	10000	30	deletion	human
BR00127194	B04	10000	30	deletion	human
BR00127194	B05	10000	9	control	human
BR00127194	B06	10000	9	control	human
BR00127194	B07	10000	26	deletion	isogenic_deletion
BR00127194	B08	10000	26	deletion	isogenic_deletion
BR00127194	B09	10000	4	control	human
BR00127194	B10	10000	4	control	human
BR00127194	B11	10000	34	deletion	human
BR00127194	B12	10000	34	deletion	human
BR00127194	B13	10000	15	control	human
BR00127194	B14	10000	15	control	human
BR00127194	B15	10000	36	deletion	human
BR00127194	B16	10000	36	deletion	human
BR00127194	B17	10000	2	control	human
BR00127194	B18	10000	2	control	human
BR00127194	B19	10000	16	control	human
BR00127194	B20	10000	16	control	human
BR00127194	B21	10000	20	control	human
BR00127194	B22	10000	20	control	human
BR00127194	B23	10000	12	control	human
BR00127194	B24	10000	12	control	human
BR00127194	C01	10000	17	control	human
BR00127194	C02	10000	17	control	human
BR00127194	C03	10000	39	deletion	human
BR00127194	C04	10000	39	deletion	human
BR00127194	C05	10000	37	deletion	human
BR00127194	C06	10000	37	deletion	human
BR00127194	C07	10000	42	deletion	human
BR00127194	C08	10000	42	deletion	human
BR00127194	C09	10000	7	control	human
BR00127194	C10	10000	7	control	human
BR00127194	C11	10000	29	deletion	human
BR00127194	C12	10000	29	deletion	human
BR00127194	C13	10000	11	control	human
BR00127194	C14	10000	11	control	human
BR00127194	C15	10000	38	deletion	human
BR00127194	C16	10000	38	deletion	human
BR00127194	C17	10000	43	deletion	human
BR00127194	C18	10000	43	deletion	human
BR00127194	C19	10000	18	control	human
BR00127194	C20	10000	18	control	human
BR00127194	C21	10000	6	control	human
BR00127194	C22	10000	6	control	human
BR00127194	C23	10000	29	deletion	human
BR00127194	C24	10000	29	deletion	human
BR00127194	D01	10000	17	control	human
BR00127194	D02	10000	17	control	human
BR00127194	D03	10000	39	deletion	human
BR00127194	D04	10000	39	deletion	human
BR00127194	D05	10000	37	deletion	human
BR00127194	D06	10000	37	deletion	human
BR00127194	D07	10000	42	deletion	human
BR00127194	D08	10000	42	deletion	human
BR00127194	D09	10000	7	control	human
BR00127194	D10	10000	7	control	human
BR00127194	D11	10000	29	deletion	human
BR00127194	D12	10000	29	deletion	human
BR00127194	D13	10000	11	control	human
BR00127194	D14	10000	11	control	human
BR00127194	D15	10000	38	deletion	human
BR00127194	D16	10000	38	deletion	human
BR00127194	D17	10000	43	deletion	human
BR00127194	D18	10000	43	deletion	human
BR00127194	D19	10000	18	control	human
BR00127194	D20	10000	18	control	human
BR00127194	D21	10000	6	control	human
BR00127194	D22	10000	6	control	human
BR00127194	D23	10000	29	deletion	human
BR00127194	D24	10000	29	deletion	human
BR00127194	E01	10000	27	deletion	human
BR00127194	E02	10000	27	deletion	human
BR00127194	E03	10000	41	deletion	human
BR00127194	E04	10000	41	deletion	human
BR00127194	E05	10000	32	deletion	human
BR00127194	E06	10000	32	deletion	human
BR00127194	E07	10000	46	deletion	human
BR00127194	E08	10000	46	deletion	human
BR00127194	E09	10000	1	control	human
BR00127194	E10	10000	1	control	human
BR00127194	E11	10000	33	deletion	human
BR00127194	E12	10000	33	deletion	human
BR00127194	E13	10000	14	control	human
BR00127194	E14	10000	14	control	human
BR00127194	E15	10000	9	control	human
BR00127194	E16	10000	9	control	human
BR00127194	E17	10000	23	control	isogenic_control
BR00127194	E18	10000	23	control	isogenic_control
BR00127194	E19	10000	22	control	human
BR00127194	E20	10000	22	control	human
BR00127194	E21	10000	3	control	human
BR00127194	E22	10000	3	control	human
BR00127194	E23	10000	28	deletion	human
BR00127194	E24	10000	28	deletion	human
BR00127194	F01	10000	27	deletion	human
BR00127194	F02	10000	27	deletion	human
BR00127194	F03	10000	41	deletion	human
BR00127194	F04	10000	41	deletion	human
BR00127194	F05	10000	32	deletion	human
BR00127194	F06	10000	32	deletion	human
